Square,P,N,B,R,Q,K,p,n,b,r,q,k
0,0,656,3651,766010,3613,6477,0,606,732,6749,2416,74
1,0,232777,11047,66403,7014,48197,0,337,1193,5134,2189,157
2,0,4445,441167,122437,11216,54844,0,681,1497,5796,2559,215
3,0,7305,7717,235946,507827,7986,0,793,1509,6312,2832,200
4,0,10128,9098,216408,14214,397820,0,733,1351,5372,2489,218
5,0,14697,310369,350597,5168,33303,0,461,1568,3324,1480,257
6,0,120593,3768,25213,1165,689945,0,149,829,2989,1243,241
7,0,583,1473,459444,770,90207,0,197,476,3122,1448,209
8,906431,2944,9043,11611,3500,5733,3376,1137,2251,13528,4388,339
9,913665,3214,62486,8979,9232,9869,3741,2582,4622,12977,5283,752
10,440164,12424,43615,21179,77582,12418,3249,2613,3339,11430,3960,677
11,120024,90375,60927,33549,86342,19629,3485,2872,2669,9183,3415,805
12,183633,56003,111637,24368,82912,31523,1928,2072,2712,6565,2805,844
13,1013422,8659,20351,17677,17541,41951,1623,1945,2590,5477,2257,711
14,963387,4581,172354,6683,5061,79496,2070,1055,2769,4588,1494,632
15,1010575,6949,5153,4528,1566,51370,2191,616,1374,5050,1905,467
16,229378,11803,13793,11795,6147,2448,13459,1459,3710,10132,4577,628
17,223057,44770,58253,9758,31823,5520,11838,4733,4137,7811,3270,1046
18,250284,341368,27377,14098,20347,9020,13747,8193,8346,9004,4629,1618
19,109041,22784,121749,20973,38740,16472,10439,8554,6844,7656,3578,1762
20,207939,33640,140985,19557,27506,22544,9253,5165,4976,5237,3495,2025
21,185931,418422,39150,14411,36813,23750,9078,4007,5691,4344,3154,1964
22,401408,38794,26961,10043,16599,20961,7064,2717,2634,3575,2339,1736
23,311975,6570,12566,8334,7508,10497,9128,1483,5778,3857,3915,1242
24,186768,18233,17451,9395,13415,1197,46935,6873,5768,9016,5472,732
25,137643,5633,8396,7992,6351,3444,80178,19518,36527,8840,7284,1672
26,327371,30078,61792,10720,14180,5243,79783,19071,10099,10926,6572,2494
27,432212,93753,26843,16168,20227,8171,71357,21143,15723,9755,7754,3720
28,500653,39046,21704,12238,14232,10747,67096,40248,13783,8591,6370,3520
29,192887,19706,57586,9009,12280,9855,48078,14204,7283,6353,5769,3657
30,128194,8113,8025,5433,14196,7445,35109,17083,25663,4467,4804,3334
31,152350,14014,17667,5868,10229,3986,38436,4141,4380,4574,8098,1835
32,62512,7023,4548,9560,4558,1011,163907,26338,6031,8168,28590,993
33,50527,21361,35467,9253,5622,2350,210407,5171,10454,7135,6495,2655
34,65516,15282,11909,9876,5459,3340,256766,42696,42338,12225,14585,4743
35,172000,32115,18361,12054,7993,3688,304981,51094,21654,12089,14643,6794
36,168200,39128,14170,10383,7232,4261,333016,42204,19929,11106,12438,8956
37,56983,16776,8034,6039,6048,4467,153573,23093,36825,8826,9292,9250
38,59926,19489,53299,4082,5578,3573,110465,6127,11630,4628,9608,6432
39,52661,5410,4402,4589,10913,1914,139012,20451,8908,4960,8330,3541
40,12795,1780,4940,11210,4257,839,415745,16273,22824,9712,6419,1735
41,11193,6839,7596,9039,3933,1574,239238,42813,22547,9879,37077,4722
42,13849,9945,8903,9736,4653,1894,259609,227862,37142,13537,16962,8735
43,19602,12120,9707,12589,5247,2062,380205,21938,57950,13098,25020,15248
44,13692,6866,5789,6740,4441,1664,468066,26822,82594,15593,16455,19666
45,16919,6135,7297,4925,4386,1886,145981,435996,46405,12476,28472,25795
46,8372,2743,3977,4100,3583,1686,481396,30508,20811,9235,10723,20315
47,14032,2559,9866,4664,6534,1226,313087,7101,12171,6149,4747,11241
48,4060,1460,2463,16061,3994,533,764172,2442,8346,14501,5148,3853
49,4542,2323,4767,14175,5142,775,764107,5957,127364,11951,15594,8742
50,3734,3392,3849,12984,3997,813,392119,16100,13641,24999,99200,12982
51,4990,3051,2841,12332,3357,686,191750,160799,87295,28422,48536,20644
52,3375,3121,4259,8034,3531,768,234497,56645,197124,24103,68637,42262
53,2677,2753,3241,6109,3135,925,1121826,10393,10986,22568,12595,45329
54,2859,1282,2714,4805,1887,718,881939,7945,215186,8234,6518,88944
55,2502,849,2188,5552,2895,340,1025690,7899,4148,4777,1252,48357
56,0,833,1109,7325,2376,174,0,871,6896,831051,5809,4057
57,0,524,1221,5831,2280,283,0,282438,3772,87628,11639,15767
58,0,1177,1455,6100,2575,339,0,6227,499455,137624,16655,28409
59,0,1057,1568,7437,3400,330,0,8457,12162,151534,564510,11161
60,0,1023,1424,5376,2391,305,0,19892,14170,173142,16009,446348
61,0,667,1494,3470,1571,268,0,17687,320745,394831,7622,44174
62,0,192,904,2721,1223,211,0,140230,2188,26891,1315,695153
63,0,321,328,3251,1668,228,0,639,2689,481782,664,80413
